序号,用户名称,场景类别,是否位于S234省道/莱城大道,用电地址,用电电价,合同容量,运行容量,电压等级,供电单位,立户日期
15,济南****行限公司,重卡,S234,山东省济南市集芜区***大门东侧,工业用电大,2500,2500,交流10kV,商庄供电所,2023/12/1014.37
16,山东有限公司,重卡,S234,山东省济南市莱芜区***北路东,大工业用电,1000,1000,交流10kV,出野供电所,2026/3/30
17,济南市神料有限公司,重卡,S234,山东省济南市钢城区**西侧,大工业用电,2500,2500,交流10kV,顺庄供中电所,2026/1/7
18,**4*斯陇源（济用）有限公司,重卡,莱城大道,山东*+*+*莱芜区***村民委员会村南,大工业用电,1600,0091,交流10kV,方下供电所,2025/10/23 16:51
19,济南市集芜区+***打限公司,重卡,莱城大道,山东省济南市莱芜区***村委会村唐,大工业用电,1000,1000,交流10kV,方下供电所,2026/2/31 6:26
20,韩*有限公司山东分公司,重卡,否,山东**$苯芙区****村委村西,大工业用电,4500,4500,交流10kV,方下供电所,2025/4/31 6:29
21,山东*++有限公司,重卡,否,山东***莱芜区*泰馨苑村南,大工业用电,2230,2230,交流10kV,开发区供中电所,2018/3/23 0:00
22,山东林**有限公司,重卡,否,山东****锅城区***大村,大工业用电,90,06,交流10kV,钢城高压客户服务二班,2006/10/20 0:00
23,山东***有限公司,重卡,否,山东***莱芜区***以东,工业用电大,1800,4800,交流10kV,张家洼供电也所,2024/9/61 7:51
24,山东****有限公司,重卡,否,山东*林林莱芜区**村委会,大工业用电,2500,2500,交流10kV,方下供电所,2023/10/12 11:59
25,山东****有限公司,重卡,否,山东****钢城区***村委会莱钢大道15号,大工业用电,1880,1880,交流10kV,辛供电所里,2024/1/51 6:08
26,济南+***有限公司,重卡,否,山东****调械区***+村民委员公村东,大工业用电,2000,2000,交流10kV,里辛供电所,2025/7/10 15:55
27,济南市***+有限公司,重卡,否,山东****镇城区****村委会15号,大工业用电,1250,1250,交流10kV,辛供电所里,2025/8/22 15:15
28,济南市*有限公司,重卡,否,山东***菜芜区和**#村民委员会村南,大工业用电,2000,2000,交流10kV,和庄供电所,2025/7/81 4:13
29,山东***+有限公司,重卡,否,山东**钢城区+*居委会,大工业用电,1600,1600,交流10kV,里辛供电所,2024/7/41 8:00
30,**新健源（济用）有限公司,重卡,否,山东***+钢城区*+幸福贸西侧,业用电大工,2000,2000,交流10kV,颜庄供电所,2025/9/29 18:18
31,济南市茅芜林材有限公司,重卡,否,山东**莱芜区****村委会村西,大工业用电,0091,1600,交流10kV,方下供电所,2024/8/27 14:47
32,济南市料林有限公司,重卡,否,山东***+调城区**委员会206国道以南,大工业用电,2500,2500,交流10kV,限生主供电所,2025/1/92 0:21
33,济府市苯芜区***经甘部,重卡,否,山东**++浆芜区****村民委员会村东大街北容33号,大工业用电,1510,1510,交流10kV,苗山供电所,2025/6/13 16:30
34,山东林*服务有限公司,重卡,否,山东****浆芙区***村委会村东,大工业用电,6830,630,交流10kV,苗山供电所,2024/4/24 16:00
35,蔡芜市菜城区*林**配货站,重卡,否,山东*林莱芜区林林委会村南,大工业用电,800,800,交流10kV,羊里供电所,2021/10/17 14:11
36,山东*有限公司,重卡,否,山东*林菜芜区林*北200米路东,大工业用电,3150,3150,交流10kV,体盟供电所,2023/11/13 14:29
37,山东****有限公司,重卡,否,山东****莱尧区***以北,大工业用电,630,630,交流10kV,张家洼供电所,2022/5/20 0:00
38,济府*有限公司,重卡,否,山东**锅城区***停车场,大工业用电,600,500,交流10kV,高压客户服务班,2025/7/8 8:50
39,蚌*新能源（济南）有限公司,重卡,否,山东*钢城区*村委会,大工业用电,630,630,交流10kV,脱生供电所,2023/11/29 15:43
40,****有限公司,重卡,否,山东****莱芜区****]服务区,大工业用电,1260,1260,交流10kV,张家注供电所,2023/1/2918:241
41,$**+新能源（济府）有限公司,重卡,否,山东****集芜区****停车场,大工业用电,630,630,交流10kV,高压客户服务二班,2021/1/19 16:17
42,茶芜市****有限公司,重卡,否,山东****锅城区艾****77号,大工业用电,800,800,交流10kV,高压客户服务班,2021/7/23 0:00
43,****有限公司,重卡,否,山东***菜芜区*林**眼务区,大工业用电,1260,1260,交流10kV,雪野供电所,2025/5/14 16:08
44,济南市美芙区**林中心,重卡,否,山东****莱芜区****村委会152,一般工商业,250,250,交流10kV,高庄供电所,2023/7/27 16:10
45,山东**有限公司,重卡,否,山东**林锅城区林*交叉口,大工业用电,1000,1000,交流10kV,显辛供电所,2021/7/1714:-11
46,济府****有限公司,重卡,否,山东****莱死区****路北10米,大工业用电,1250,1260,交流10kV,苗山供电所,2025/9/22 15:17
47,（济南市锅城区）能源利技有限公司,重卡,否,山东*林林*锅城区林**村委会东岭庆和地,大工业用电,2250,2250,交流10kV,颜庄供电所,2024/5/23 14:52
48,济浦市莱芝区***,重卡,否,山东***莱芝区****村委会,大工业用电,630,630,交流10kV,羊里供电所,2023/6/27 17:11
49,山东**有限公司,重卡,否,山东**林*菜芜区林***路口东北,大工业用电,630,630,交流10kV,羊！里供电所,2023/11/91 2:44
50,****发电有限公司,重卡,否,济南****村委会,大工业用电,750,750,交流10kV,杨庄供电所,2022/1/21 16:19
51,济府市基天***+有限公司,重卡,否,山东***委会,一般工商业,250,250,交流10kV,高庄供电所,2021/3/21 9:12
52,济南市某芜***有限公司,重卡,否,山东****村委会村南,大工业用电,630,630,交流10kV,羊里供电所,2023/10/18 15:15
53,济南市梁买***有限公部,重卡,否,山东****蔡芜区****15号,一般工商业,250,250,交流10kV,里供电所羊EE,2018/1/22 0:00
54,济丽市锅城区***有限公司,重卡,否,山东**锅城区***公司南,大工业用电,1200,1200,交流10kV,锅城高压客户服务二班,2022/3/30 0:00
55,济诺市****有限公司,重卡,否,山东****莱芙区***村委会西北,大工业用电,630,630,交流10kV,羊里供电所,2023/9/27 15:18
56,山东**林有限公司,重卡,否,山东***莱芜区**邮政储蓄西邻,大工业用电,1250,1250,交流10kV,苗山供电所,2025/10/22 17:00
57,东芜市**++有限公司,重卡,否,济南***+*村西北,大工业用电,630,630,交流10kV,单里供电所,2006/3/1000:0
58,山东**有限公司,重卡,否,山东****莱至区****服务区,大工业用电,1260,1260,交流10kV,雪野供电所,2025/9/28 17:31
59,山东*有限公司,重卡,否,山东****某芜区****货局,大工业用电,1260,1260,交流10kV,杨庄供电所,2023/10/2417:-16
60,泰安*#有限公司,重卡,否,山东省济南市莱芜区****村委会023,大工业用电,630,630,交流10kV,杨生供电所,2012/5/25 0:00
61,济店的***有果公司,重卡,否,山东谷济南市莱芜区口**东临,大工业用电,5000,5000,交流10kV,口镇供电所,2025/12/311-1:-10
62,济府***有限公司,重卡,否,山东省济南市莱芜区*林**路南土地,大工业用电,5000,5000,交流10kV,羊里供电所,2025/11/18 15:12
63,****投资有限公司,重卡,否,山东省济南市菜芜区****服务区内,大工业用电,1260,1260,交流10kV,张家洼供电所,2025/11/11 6:13
64,济府****有限公司,重卡,否,山东省济南市钢城区林**执法局,大工业用电,2250,2250,交流10kV,额生供电所,2025/11/71 5:09
65,林格有限公司,重卡,否,山东省济肃市集天区****20号,大工业用电,4500,4500,交流10kV,开发区区供电所,2026/1/16 11:58
66,济庙市莱芜区****,重卡,否,山东省济南市茅芜区*林林*50米路东,大工业用电,1250,1250,交流10kV,苗山供电所,2025/11/13 16:53
67,山东*林有限公司,重卡,否,山东省济肃市钢城区****9号,大工业用电,2000,2000,交流10kV,艾山供电服务站,2025/12/25 16:02
68,济府****有限公司,重卡,否,山东省济南市锅城区+***西例,大工业用电,1600,1600,交流10kV,颜庄供电所,2025/12/29 18:58
69,济府***有限公司,重卡,否,山东省济南市莱芜区林林*村民委员会,大工业用电,1000,1000,交流10kV,苗山供电所,2025/12/21 0:58
70,济南料料有限公司,重卡,否,山东省济南市锅城区辛林林交叉口,大工业用电,2500,2500,交流10kV,鹏泉供电服务站,2026/3/30
71,济南市**有限公司,重卡,否,山东省济南市菜芜区林林地段,大工业用电,0001,1000,交流10kV,口镇供电所,2026/3/25
